Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00278250139212545,0.000187287188802259,-0.0649448918101039,0,0,0,0.25052255434884,0.000374515124376323,-1.21209822740659E-06,-2.11003310406758E-05,0.000247069320910642,7.40581205023416E-07,0.000192267594278956,0,0,0,0,0,0,package://DAS_Gripper_urdf/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://DAS_Gripper_urdf/meshes/base_link.STL,,DAS-G_Camera CoverV2-1;DAS-G_Light column-2;DAS-G_PCB Bracket-3;DAS-G_Handle Base-1;DAS-G_Trigger-1;DAS-G_Battery cover-1;M3-6梅花螺栓-1019-1;DAS2.0-屏幕膜-1023-2;Power-硅胶测试方案-带圆柱孔-4;DAS-G_Record Button-1;PCB Bracket-1210-2;DAS-G_Front cover-1;DAS-G_Support plate-1;DAS-G_Cover plate-1;外壳最终-A02-1;DAS-G_Back Cution-1,zbx1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.0111698775926259,0.0130382366045426,-0.00922442279841571,0,0,0,0.0188480149790177,5.8988875536545E-06,-3.40544976622782E-06,-1.92363256596422E-07,4.53830689550564E-06,-2.42162765665262E-07,1.00981852554242E-05,0,0,0,0,0,0,package://DAS_Gripper_urdf/meshes/link_1.STL,1,1,1,1,0,0,0,0,0,0,package://DAS_Gripper_urdf/meshes/link_1.STL,,大臂上_左-开模件-1;下大臂_左-开模件-1;S20_梅花圆柱头耐落螺钉M2-6_黑色-1;S09_梅花扁头M3-6螺钉-黑色-10;S02_塑料轴承EPB13F-0506-035-17;S02_塑料轴承EPB13F-0506-035-18;DAS-G_D5 pin-8,zbx2,a2,joint_1,revolute,0.022418,0.043372,-0.059758,0,-0.2618,0,base_link,0,0,-1,0,0,0,0.925,,,,,,,,
link_3,0.0254691723532261,-0.0272561853154572,-0.00924899427397418,0,0,0,0.0143347096511438,7.22292488587969E-07,4.11143118077403E-07,-1.88580449727449E-11,3.49297541582351E-06,-9.39153494024212E-13,3.62513456981631E-06,0,0,0,0,0,0,package://DAS_Gripper_urdf/meshes/link_3.STL,0.745098039215686,0.529411764705882,1,1,0,0,0,0,0,0,package://DAS_Gripper_urdf/meshes/link_3.STL,,夹爪头通用件-开模件-2;S02_塑料轴承EPB13F-0506-035-15;S02_塑料轴承EPB13F-0506-035-13;DAS-G_D5 pin-6;S09_梅花扁头M3-6螺钉-黑色-8;FLAT PAD ASSEMBLY _改薄款-2/DAS-G_Pad Flat-1;FLAT PAD ASSEMBLY _改薄款-2/PAD FLAT RUBBER-标准版-1,zbx4,a4,joint_3,revolute,0.04262,0.046314,0,0,0,0,link_1,0,0,-1,0,0,-0.925,0,,,,,,,,
link_2,0.0105638233920196,-0.0123745523543532,-0.0092370035944179,0,0,0,0.0271957000411005,8.6863243448814E-06,5.01073867385604E-06,-2.82582783157405E-07,6.65930369337175E-06,3.55977281809514E-07,1.48713183868901E-05,0,0,0,0,0,0,package://DAS_Gripper_urdf/meshes/link_2.STL,1,1,1,1,0,0,0,0,0,0,package://DAS_Gripper_urdf/meshes/link_2.STL,,大臂上_右-开模件-1;下大臂_右-开模件-1;S02_塑料轴承EPB13F-0506-035-8;S02_塑料轴承EPB13F-0506-035-19;DAS-G_D5 pin-1;S20_梅花圆柱头耐落螺钉M2-6_黑色-2;S09_梅花扁头M3-6螺钉-黑色-1,zbx3,a3,joint_2,revolute,0.022418,-0.042627,-0.059758,0,-0.2618,0,base_link,0,0,-1,0,0,-0.925,0,,,,,,,,
link_4,0.0254683509489325,0.0272540370820665,-0.00924889874088622,0,0,0,0.0143347096588342,7.22208874040906E-07,-4.10861273247096E-07,1.88579340276013E-11,3.49305903213778E-06,-9.41095772881307E-13,3.62513457065684E-06,0,0,0,0,0,0,package://DAS_Gripper_urdf/meshes/link_4.STL,0.745098039215686,0.529411764705882,1,1,0,0,0,0,0,0,package://DAS_Gripper_urdf/meshes/link_4.STL,,夹爪头通用件-开模件-1;S02_塑料轴承EPB13F-0506-035-4;S02_塑料轴承EPB13F-0506-035-6;DAS-G_D5 pin-2;S09_梅花扁头M3-6螺钉-黑色-2;FLAT PAD ASSEMBLY _改薄款-1/DAS-G_Pad Flat-1;FLAT PAD ASSEMBLY _改薄款-1/PAD FLAT RUBBER-标准版-1,zbx5,a5,joint_4,revolute,0.04262,-0.046314,0,0,0,0,link_2,0,0,-1,0,0,0,0.925,,,,,,,,
link_5,0.0173669874644275,0.0227176239384365,-0.0094255781507463,0,0,0,0.0109821462117077,2.44733705337546E-06,-1.50008041263207E-06,-1.03406909427736E-11,1.79539771632725E-06,-1.44155092041614E-11,3.25065506297382E-06,0,0,0,0,0,0,package://DAS_Gripper_urdf/meshes/link_5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DAS_Gripper_urdf/meshes/link_5.STL,,连杆-含倒角-开模件-2;DAS-G_D5 pin-5;S02_塑料轴承EPB13F-0506-035-11;S02_塑料轴承EPB13F-0506-035-10;S09_梅花扁头M3-6螺钉-黑色-6,zbx6,a6,joint_5,revolute,0.037102,0.01989,-0.055622,0,-0.2618,0,base_link,0,0,-1,0,0,0,0.925,,,,,,,,
link_6,0.0173663962799268,-0.0227180758554502,-0.00942545135918245,0,0,0,0.0109821462005777,2.4474151242897E-06,1.50006344510183E-06,1.03404518608018E-11,1.79531964444768E-06,-1.44160025035364E-11,3.25065506215873E-06,0,0,0,0,0,0,package://DAS_Gripper_urdf/meshes/link_6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DAS_Gripper_urdf/meshes/link_6.STL,,连杆-含倒角-开模件-1;DAS-G_D5 pin-4;S02_塑料轴承EPB13F-0506-035-1;S02_塑料轴承EPB13F-0506-035-2;S09_梅花扁头M3-6螺钉-黑色-4,zbx7,a7,joint_6,revolute,0.037102,-0.019145,-0.055622,0,-0.2618,0,base_link,0,0,-1,0,0,-0.925,0,,,,,,,,
link_imu,0.00862216042223432,-0.0138222723020212,-0.00384400864237492,0,0,0,1.41794811721163,0.00625603016959313,-2.30162842690393E-05,8.60601322410442E-05,0.00359313750875759,-0.000609859640446212,0.00526886654405653,0,0,0,0,0,0,package://DAS_Gripper_urdf/meshes/link_imu.STL,1,1,1,1,0,0,0,0,0,0,package://DAS_Gripper_urdf/meshes/link_imu.STL,,V174_0305_DAS_RV1126B_DDR4_2G_V4_20251223_PCB.stp-1/COMPONENTS.stp-1/IMU614E-B.stp-1,zbimu,aimu,joint_imu,fixed,0.002742,0.0075232,-0.049069,1.5708,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
link_ca1,-0.000411296805630016,0.000285191199263957,0.0106419007919078,0,0,0,0.00358753776891076,2.04174474708491E-07,-1.62935647881402E-17,4.3742568811687E-17,2.13252204716397E-07,-5.94511249854112E-20,1.13222316395875E-07,0,0,0,0,0,0,package://DAS_Gripper_urdf/meshes/link_ca1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://DAS_Gripper_urdf/meshes/link_ca1.STL,,V172_0305_DAS_RV1126B_DDR4_2G_20251012_2150-1019-6/摄像头模组-1019-1/^主板PCBA-815_屏幕和PCB(2)_屏幕和PCB-1019-1,zbxc1,ac1,joint_ca1,fixed,0,-0.027,0,-1.5708,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
link_ca2,-0.000411300000511884,0.000285191199261743,0.0124180352434537,0,0,0,0.00434913936285486,2.97803076590816E-07,-1.6293574246449E-17,6.79944603020297E-23,3.06880806598721E-07,-3.30872245021211E-23,1.68401927113963E-07,0,0,0,0,0,0,package://DAS_Gripper_urdf/meshes/link_ca2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://DAS_Gripper_urdf/meshes/link_ca2.STL,,V172_0305_DAS_RV1126B_DDR4_2G_20251012_2150-1019-6/摄像头模组-1019-1/鱼眼^复件 主板PCBA-815-819 -1019-1,zbxc2,ac2,joint_ca2,fixed,0,0,0,-1.5708,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
